DATARICOVERO1,RICOVERI,iss_date
07/06/2022,363,25/08/2022
07/07/2020,69,25/08/2022
07/07/2021,86,25/08/2022
07/07/2022,1015,25/08/2022
07/08/2020,80,25/08/2022
07/08/2021,285,25/08/2022
07/08/2022,412,25/08/2022
07/09/2020,219,25/08/2022
07/09/2021,339,25/08/2022
07/10/2020,488,25/08/2022
07/10/2021,166,25/08/2022
07/11/2020,2426,25/08/2022
07/11/2021,248,25/08/2022
07/12/2020,1420,25/08/2022
07/12/2021,556,25/08/2022
08/01/2021,1470,25/08/2022
08/01/2022,1635,25/08/2022
08/02/2021,1025,25/08/2022
08/02/2022,1120,25/08/2022
08/03/2020,1158,25/08/2022
08/03/2021,1841,25/08/2022
08/03/2022,606,25/08/2022
08/04/2020,1059,25/08/2022
08/04/2021,1373,25/08/2022
08/04/2022,775,25/08/2022
08/05/2020,300,25/08/2022
08/05/2021,611,25/08/2022
08/05/2022,400,25/08/2022
08/06/2020,128,25/08/2022
08/06/2021,167,25/08/2022
08/06/2022,361,25/08/2022
08/07/2020,78,25/08/2022
08/07/2021,90,25/08/2022
08/07/2022,948,25/08/2022
08/08/2020,58,25/08/2022
08/08/2021,267,25/08/2022
08/08/2022,534,25/08/2022
08/09/2020,179,25/08/2022
08/09/2021,314,25/08/2022
08/10/2020,533,25/08/2022
08/10/2021,149,25/08/2022
08/11/2020,2185,25/08/2022
08/11/2021,337,25/08/2022
08/12/2020,1304,25/08/2022
08/12/2021,538,25/08/2022
09/01/2021,1280,25/08/2022
09/01/2022,1368,25/08/2022
09/02/2021,961,25/08/2022
09/02/2022,1111,25/08/2022
09/03/2020,1458,25/08/2022
09/03/2021,1850,25/08/2022
09/03/2022,603,25/08/2022
09/04/2020,1017,25/08/2022
09/04/2021,1394,25/08/2022
09/04/2022,708,25/08/2022
09/05/2020,185,25/08/2022
09/05/2021,454,25/08/2022
09/05/2022,533,25/08/2022
09/06/2020,84,25/08/2022
09/06/2021,149,25/08/2022
09/06/2022,310,25/08/2022
09/07/2020,68,25/08/2022
09/07/2021,82,25/08/2022
09/07/2022,837,25/08/2022
09/08/2020,63,25/08/2022
09/08/2021,348,25/08/2022
09/08/2022,592,25/08/2022
09/09/2020,196,25/08/2022
09/09/2021,304,25/08/2022
09/10/2020,571,25/08/2022
09/10/2021,137,25/08/2022
09/11/2020,2505,25/08/2022
09/11/2021,312,25/08/2022
09/12/2020,1434,25/08/2022
09/12/2021,639,25/08/2022
10/01/2021,1153,25/08/2022
10/01/2022,1717,25/08/2022
10/02/2021,1008,25/08/2022
10/02/2022,1014,25/08/2022
10/03/2020,1583,25/08/2022
10/03/2021,1859,25/08/2022
10/03/2022,585,25/08/2022
10/04/2020,943,25/08/2022
10/04/2021,1266,25/08/2022
10/04/2022,542,25/08/2022
10/05/2020,174,25/08/2022
10/05/2021,653,25/08/2022
10/05/2022,576,25/08/2022
10/06/2020,85,25/08/2022
10/06/2021,126,25/08/2022
10/06/2022,332,25/08/2022
10/07/2020,80,25/08/2022
10/07/2021,71,25/08/2022
10/07/2022,717,25/08/2022
10/08/2020,107,25/08/2022
10/08/2021,328,25/08/2022
10/08/2022,526,25/08/2022
10/09/2020,219,25/08/2022
10/09/2021,305,25/08/2022
10/10/2020,580,25/08/2022
10/10/2021,126,25/08/2022
10/11/2020,2535,25/08/2022
10/11/2021,326,25/08/2022
10/12/2020,1401,25/08/2022
10/12/2021,631,25/08/2022
11/01/2021,1344,25/08/2022
11/01/2022,1666,25/08/2022
11/02/2021,982,25/08/2022
11/02/2022,932,25/08/2022
11/03/2020,1758,25/08/2022
