DATA_DECESSO,DECESSI,iss_date
07/07/2022,101,25/08/2022
07/08/2020,8,25/08/2022
07/08/2021,23,25/08/2022
07/08/2022,98,25/08/2022
07/09/2020,19,25/08/2022
07/09/2021,52,25/08/2022
07/10/2020,33,25/08/2022
07/10/2021,29,25/08/2022
07/11/2020,502,25/08/2022
07/11/2021,49,25/08/2022
07/12/2020,645,25/08/2022
07/12/2021,95,25/08/2022
08/01/2021,448,25/08/2022
08/01/2022,236,25/08/2022
08/02/2021,329,25/08/2022
08/02/2022,293,25/08/2022
08/03/2020,178,25/08/2022
08/03/2021,308,25/08/2022
08/03/2022,144,25/08/2022
08/04/2020,599,25/08/2022
08/04/2021,430,25/08/2022
08/04/2022,132,25/08/2022
08/05/2020,171,25/08/2022
08/05/2021,174,25/08/2022
08/05/2022,97,25/08/2022
08/06/2020,43,25/08/2022
08/06/2021,41,25/08/2022
08/06/2022,55,25/08/2022
08/07/2020,10,25/08/2022
08/07/2021,13,25/08/2022
08/07/2022,85,25/08/2022
08/08/2020,6,25/08/2022
08/08/2021,16,25/08/2022
08/08/2022,125,25/08/2022
08/09/2020,<5,25/08/2022
08/09/2021,59,25/08/2022
08/10/2020,39,25/08/2022
08/10/2021,39,25/08/2022
08/11/2020,568,25/08/2022
08/11/2021,43,25/08/2022
08/12/2020,601,25/08/2022
08/12/2021,103,25/08/2022
09/01/2021,440,25/08/2022
09/01/2022,243,25/08/2022
09/02/2021,358,25/08/2022
09/02/2022,275,25/08/2022
09/03/2020,225,25/08/2022
09/03/2021,322,25/08/2022
09/03/2022,118,25/08/2022
09/04/2020,546,25/08/2022
09/04/2021,423,25/08/2022
09/04/2022,114,25/08/2022
09/05/2020,200,25/08/2022
09/05/2021,172,25/08/2022
09/05/2022,109,25/08/2022
09/06/2020,45,25/08/2022
09/06/2021,42,25/08/2022
09/06/2022,49,25/08/2022
09/07/2020,11,25/08/2022
09/07/2021,11,25/08/2022
09/07/2022,122,25/08/2022
09/08/2020,<5,25/08/2022
09/08/2021,24,25/08/2022
09/08/2022,91,25/08/2022
09/09/2020,7,25/08/2022
09/09/2021,58,25/08/2022
09/10/2020,44,25/08/2022
09/10/2021,32,25/08/2022
09/11/2020,603,25/08/2022
09/11/2021,54,25/08/2022
09/12/2020,690,25/08/2022
