DATA_INIZIO_SINTOMI,CASI,iss_date
01/01/2021,9565,25/08/2022
01/01/2022,45861,25/08/2022
01/02/2020,53,25/08/2022
01/02/2021,7924,25/08/2022
01/02/2022,31149,25/08/2022
01/03/2020,2479,25/08/2022
01/03/2021,14981,25/08/2022
01/03/2022,14555,25/08/2022
01/04/2020,4119,25/08/2022
01/04/2021,10059,25/08/2022
01/04/2022,20561,25/08/2022
01/05/2020,701,25/08/2022
01/05/2021,5092,25/08/2022
01/05/2022,12374,25/08/2022
01/06/2020,173,25/08/2022
01/06/2021,1253,25/08/2022
01/06/2022,5922,25/08/2022
01/07/2020,118,25/08/2022
01/07/2021,637,25/08/2022
01/07/2022,22785,25/08/2022
01/08/2020,161,25/08/2022
01/08/2021,3605,25/08/2022
01/08/2022,16747,25/08/2022
01/09/2020,748,25/08/2022
01/09/2021,3617,25/08/2022
01/10/2020,2347,25/08/2022
01/10/2021,1843,25/08/2022
01/11/2020,17727,25/08/2022
01/11/2021,3837,25/08/2022
01/12/2020,10542,25/08/2022
01/12/2021,10127,25/08/2022
02/01/2021,9735,25/08/2022
02/01/2022,46939,25/08/2022
02/02/2020,42,25/08/2022
02/02/2021,6581,25/08/2022
02/02/2022,28163,25/08/2022
02/03/2020,1943,25/08/2022
02/03/2021,12565,25/08/2022
02/03/2022,14798,25/08/2022
02/04/2020,2715,25/08/2022
02/04/2021,8786,25/08/2022
02/04/2022,17767,25/08/2022
02/05/2020,509,25/08/2022
02/05/2021,4319,25/08/2022
02/05/2022,17193,25/08/2022
02/06/2020,66,25/08/2022
02/06/2021,1141,25/08/2022
02/06/2022,4515,25/08/2022
02/07/2020,90,25/08/2022
02/07/2021,565,25/08/2022
02/07/2022,19365,25/08/2022
02/08/2020,127,25/08/2022
02/08/2021,4191,25/08/2022
02/08/2022,12474,25/08/2022
02/09/2020,650,25/08/2022
02/09/2021,2975,25/08/2022
02/10/2020,2279,25/08/2022
02/10/2021,1598,25/08/2022
02/11/2020,20931,25/08/2022
02/11/2021,4148,25/08/2022
02/12/2020,9153,25/08/2022
02/12/2021,8676,25/08/2022
03/01/2021,8619,25/08/2022
03/01/2022,69287,25/08/2022
03/02/2020,25,25/08/2022
03/02/2021,6562,25/08/2022
03/02/2022,24678,25/08/2022
03/03/2020,2241,25/08/2022
03/03/2021,12643,25/08/2022
03/03/2022,14194,25/08/2022
03/04/2020,2724,25/08/2022
03/04/2021,7438,25/08/2022
03/04/2022,16163,25/08/2022
03/05/2020,410,25/08/2022
03/05/2021,5432,25/08/2022
03/05/2022,14398,25/08/2022
03/06/2020,141,25/08/2022
03/06/2021,1134,25/08/2022
03/06/2022,6630,25/08/2022
03/07/2020,77,25/08/2022
03/07/2021,578,25/08/2022
03/07/2022,20397,25/08/2022
03/08/2020,224,25/08/2022
03/08/2021,4098,25/08/2022
03/08/2022,11171,25/08/2022
03/09/2020,598,25/08/2022
03/09/2021,2920,25/08/2022
03/10/2020,2385,25/08/2022
03/10/2021,1496,25/08/2022
03/11/2020,17482,25/08/2022
03/11/2021,4462,25/08/2022
03/12/2020,8395,25/08/2022
03/12/2021,8886,25/08/2022
04/01/2021,10990,25/08/2022
04/01/2022,55821,25/08/2022
04/02/2020,23,25/08/2022
04/02/2021,6306,25/08/2022
04/02/2022,21865,25/08/2022
04/03/2020,1956,25/08/2022
04/03/2021,12185,25/08/2022
04/03/2022,14168,25/08/2022
04/04/2020,2360,25/08/2022
04/04/2021,6642,25/08/2022
04/04/2022,24669,25/08/2022
04/05/2020,656,25/08/2022
04/05/2021,4716,25/08/2022
04/05/2022,14287,25/08/2022
04/06/2020,128,25/08/2022
04/06/2021,1065,25/08/2022
04/06/2022,5798,25/08/2022
04/07/2020,85,25/08/2022
04/07/2021,627,25/08/2022
04/07/2022,32458,25/08/2022
04/08/2020,201,25/08/2022
04/08/2021,4025,25/08/2022
04/08/2022,9871,25/08/2022
04/09/2020,654,25/08/2022
04/09/2021,2705,25/08/2022
04/10/2020,2365,25/08/2022
04/10/2021,1924,25/08/2022
04/11/2020,19850,25/08/2022
04/11/2021,4259,25/08/2022
04/12/2020,8953,25/08/2022
04/12/2021,8569,25/08/2022
05/01/2021,9912,25/08/2022
05/01/2022,49674,25/08/2022
05/02/2020,29,25/08/2022
05/02/2021,6501,25/08/2022
05/02/2022,20101,25/08/2022
05/03/2020,2626,25/08/2022
05/03/2021,13251,25/08/2022
05/03/2022,14082,25/08/2022
05/04/2020,2055,25/08/2022
05/04/2021,7668,25/08/2022
05/04/2022,21501,25/08/2022
05/05/2020,633,25/08/2022
05/05/2021,4717,25/08/2022
05/05/2022,12945,25/08/2022
05/06/2020,164,25/08/2022
05/06/2021,927,25/08/2022
05/06/2022,5731,25/08/2022
05/07/2020,69,25/08/2022
05/07/2021,796,25/08/2022
05/07/2022,28407,25/08/2022
