NOME_NUTS2,CASI_CUMULATIVI,iss_date
Abruzzo,533660,25/08/2022
Basilicata,180855,25/08/2022
Calabria,485804,25/08/2022
Campania,2168884,25/08/2022
Emilia-Romagna,1810634,25/08/2022
Friuli-Venezia Giulia,463158,25/08/2022
Lazio,2092127,25/08/2022
Liguria,557476,25/08/2022
Lombardia,3451579,25/08/2022
Marche,568482,25/08/2022
Molise,86211,25/08/2022
Piemonte,1403498,25/08/2022
Provincia Autonoma di Bolzano/Bozen,253261,25/08/2022
Provincia Autonoma di Trento,202944,25/08/2022
Puglia,1445265,25/08/2022
Sardegna,451965,25/08/2022
Sicilia,1661486,25/08/2022
Toscana,1452915,25/08/2022
Umbria,371151,25/08/2022
Valle d'Aosta/Vallée d'Aoste,43821,25/08/2022
Veneto,2174593,25/08/2022
