DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
07/04/2020,4142,25/08/2022
07/04/2021,19270,25/08/2022
07/04/2022,66767,25/08/2022
07/05/2020,1389,25/08/2022
07/05/2021,9543,25/08/2022
07/05/2022,32328,25/08/2022
07/06/2020,84,25/08/2022
07/06/2021,2216,25/08/2022
07/06/2022,22775,25/08/2022
07/07/2020,226,25/08/2022
07/07/2021,1224,25/08/2022
07/07/2022,99157,25/08/2022
07/08/2020,499,25/08/2022
07/08/2021,5119,25/08/2022
07/08/2022,10805,25/08/2022
07/09/2020,1547,25/08/2022
07/09/2021,6007,25/08/2022
07/10/2020,5483,25/08/2022
07/10/2021,2809,25/08/2022
07/11/2020,30440,25/08/2022
07/11/2021,2684,25/08/2022
07/12/2020,19551,25/08/2022
07/12/2021,20407,25/08/2022
08/01/2021,21212,25/08/2022
08/01/2022,161678,25/08/2022
08/02/2021,13943,25/08/2022
08/02/2022,78924,25/08/2022
08/03/2020,1450,25/08/2022
08/03/2021,24021,25/08/2022
08/03/2022,50814,25/08/2022
08/04/2020,4794,25/08/2022
08/04/2021,17724,25/08/2022
08/04/2022,65535,25/08/2022
08/05/2020,1380,25/08/2022
08/05/2021,7423,25/08/2022
08/05/2022,15207,25/08/2022
08/06/2020,300,25/08/2022
08/06/2021,2156,25/08/2022
08/06/2022,23593,25/08/2022
08/07/2020,289,25/08/2022
08/07/2021,1401,25/08/2022
08/07/2022,101657,25/08/2022
08/08/2020,346,25/08/2022
08/08/2021,3022,25/08/2022
08/08/2022,44979,25/08/2022
08/09/2020,1615,25/08/2022
08/09/2021,5422,25/08/2022
08/10/2020,6206,25/08/2022
08/10/2021,2699,25/08/2022
08/11/2020,15662,25/08/2022
08/11/2021,8195,25/08/2022
08/12/2020,7718,25/08/2022
08/12/2021,10184,25/08/2022
09/01/2021,15637,25/08/2022
09/01/2022,74999,25/08/2022
09/02/2021,14682,25/08/2022
09/02/2022,73651,25/08/2022
09/03/2020,2239,25/08/2022
09/03/2021,26065,25/08/2022
09/03/2022,56421,25/08/2022
09/04/2020,4687,25/08/2022
09/04/2021,17337,25/08/2022
09/04/2022,54585,25/08/2022
09/05/2020,731,25/08/2022
09/05/2021,3609,25/08/2022
09/05/2022,60430,25/08/2022
09/06/2020,368,25/08/2022
09/06/2021,1852,25/08/2022
09/06/2022,22599,25/08/2022
09/07/2020,220,25/08/2022
09/07/2021,1498,25/08/2022
09/07/2022,81104,25/08/2022
09/08/2020,198,25/08/2022
09/08/2021,7063,25/08/2022
09/08/2022,29535,25/08/2022
09/09/2020,1638,25/08/2022
09/09/2021,4975,25/08/2022
09/10/2020,7003,25/08/2022
09/10/2021,2112,25/08/2022
09/11/2020,39344,25/08/2022
09/11/2021,8838,25/08/2022
09/12/2020,20168,25/08/2022
09/12/2021,21605,25/08/2022
10/01/2021,7014,25/08/2022
10/01/2022,253073,25/08/2022
10/02/2021,13936,25/08/2022
10/02/2022,63923,25/08/2022
10/03/2020,2451,25/08/2022
10/03/2021,25824,25/08/2022
10/03/2022,56010,25/08/2022
10/04/2020,5131,25/08/2022
10/04/2021,14066,25/08/2022
10/04/2022,23963,25/08/2022
10/05/2020,336,25/08/2022
10/05/2021,8155,25/08/2022
10/05/2022,41695,25/08/2022
10/06/2020,394,25/08/2022
10/06/2021,1806,25/08/2022
10/06/2022,22918,25/08/2022
10/07/2020,255,25/08/2022
10/07/2021,1414,25/08/2022
10/07/2022,34997,25/08/2022
10/08/2020,501,25/08/2022
10/08/2021,7514,25/08/2022
10/08/2022,27835,25/08/2022
10/09/2020,1667,25/08/2022
10/09/2021,5107,25/08/2022
10/10/2020,6059,25/08/2022
10/10/2021,1216,25/08/2022
10/11/2020,40856,25/08/2022
10/11/2021,8442,25/08/2022
10/12/2020,20715,25/08/2022
10/12/2021,22980,25/08/2022
11/01/2021,17108,25/08/2022
11/01/2022,205773,25/08/2022
11/02/2021,13481,25/08/2022
11/02/2022,61086,25/08/2022
11/03/2020,2777,25/08/2022
11/03/2021,25816,25/08/2022
11/03/2022,57811,25/08/2022
11/04/2020,3431,25/08/2022
11/04/2021,6746,25/08/2022
11/04/2022,90017,25/08/2022
11/05/2020,873,25/08/2022
11/05/2021,8296,25/08/2022
11/05/2022,42167,25/08/2022
11/06/2020,449,25/08/2022
11/06/2021,1825,25/08/2022
11/06/2022,19288,25/08/2022
