iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
26/04/2022,29/01/2020,<5
26/04/2022,06/02/2020,<5
26/04/2022,20/02/2020,<5
26/04/2022,21/02/2020,36
26/04/2022,22/02/2020,58
26/04/2022,23/02/2020,77
26/04/2022,24/02/2020,86
26/04/2022,25/02/2020,191
26/04/2022,26/02/2020,277
26/04/2022,27/02/2020,287
26/04/2022,28/02/2020,354
26/04/2022,29/02/2020,373
26/04/2022,01/03/2020,410
26/04/2022,02/03/2020,629
26/04/2022,03/03/2020,802
26/04/2022,04/03/2020,1077
26/04/2022,05/03/2020,1302
26/04/2022,06/03/2020,1530
26/04/2022,07/03/2020,1437
26/04/2022,08/03/2020,1450
26/04/2022,09/03/2020,2240
26/04/2022,10/03/2020,2452
26/04/2022,11/03/2020,2776
26/04/2022,12/03/2020,3144
26/04/2022,13/03/2020,4104
26/04/2022,14/03/2020,3534
26/04/2022,15/03/2020,2850
26/04/2022,16/03/2020,4819
26/04/2022,17/03/2020,5347
26/04/2022,18/03/2020,5690
26/04/2022,19/03/2020,5685
26/04/2022,20/03/2020,6257
26/04/2022,21/03/2020,4920
26/04/2022,22/03/2020,3926
26/04/2022,23/03/2020,6101
26/04/2022,24/03/2020,5916
26/04/2022,25/03/2020,5804
26/04/2022,26/03/2020,5703
26/04/2022,27/03/2020,5791
26/04/2022,28/03/2020,4530
26/04/2022,29/03/2020,3012
26/04/2022,30/03/2020,5085
26/04/2022,31/03/2020,5360
26/04/2022,01/04/2020,5024
26/04/2022,02/04/2020,4775
26/04/2022,03/04/2020,4445
26/04/2022,04/04/2020,3664
26/04/2022,05/04/2020,2601
26/04/2022,06/04/2020,4090
26/04/2022,07/04/2020,4141
26/04/2022,08/04/2020,4796
26/04/2022,09/04/2020,4687
26/04/2022,10/04/2020,5131
26/04/2022,11/04/2020,3430
26/04/2022,12/04/2020,1919
26/04/2022,13/04/2020,2268
26/04/2022,14/04/2020,3280
26/04/2022,15/04/2020,3947
26/04/2022,16/04/2020,3705
26/04/2022,17/04/2020,3499
26/04/2022,18/04/2020,2640
26/04/2022,19/04/2020,1387
26/04/2022,20/04/2020,3006
26/04/2022,21/04/2020,3081
26/04/2022,22/04/2020,2605
26/04/2022,23/04/2020,2811
26/04/2022,24/04/2020,2740
26/04/2022,25/04/2020,1666
26/04/2022,26/04/2020,1017
26/04/2022,27/04/2020,1982
26/04/2022,28/04/2020,2240
26/04/2022,29/04/2020,2328
26/04/2022,30/04/2020,2268
26/04/2022,01/05/2020,1084
26/04/2022,02/05/2020,1021
26/04/2022,03/05/2020,506
26/04/2022,04/05/2020,1456
26/04/2022,05/05/2020,1536
26/04/2022,06/05/2020,1442
26/04/2022,07/05/2020,1390
26/04/2022,08/05/2020,1380
26/04/2022,09/05/2020,731
26/04/2022,10/05/2020,336
26/04/2022,11/05/2020,873
26/04/2022,12/05/2020,915
26/04/2022,13/05/2020,890
26/04/2022,14/05/2020,901
26/04/2022,15/05/2020,791
26/04/2022,16/05/2020,606
26/04/2022,17/05/2020,298
26/04/2022,18/05/2020,655
26/04/2022,19/05/2020,720
26/04/2022,20/05/2020,676
26/04/2022,21/05/2020,621
26/04/2022,22/05/2020,685
26/04/2022,23/05/2020,356
26/04/2022,24/05/2020,147
26/04/2022,25/05/2020,513
26/04/2022,26/05/2020,540
26/04/2022,27/05/2020,523
26/04/2022,28/05/2020,516
