iss_date,NOME_NUTS2,CASI_CUMULATIVI
26/04/2022,Abruzzo,364480
26/04/2022,Basilicata,126091
26/04/2022,Calabria,302649
26/04/2022,Campania,1568382
26/04/2022,Emilia-Romagna,1390157
26/04/2022,Friuli-Venezia Giulia,320861
26/04/2022,Lazio,1496851
26/04/2022,Liguria,407889
26/04/2022,Lombardia,2727760
26/04/2022,Marche,405034
26/04/2022,Molise,58126
26/04/2022,Piemonte,1098615
26/04/2022,Provincia Autonoma di Bolzano/Bozen,192556
26/04/2022,Provincia Autonoma di Trento,160173
26/04/2022,Puglia,1045817
26/04/2022,Sardegna,284683
26/04/2022,Sicilia,1101959
26/04/2022,Toscana,1117339
26/04/2022,Umbria,272162
26/04/2022,Valle d'Aosta/Vallée d'Aoste,35134
26/04/2022,Veneto,1634962
