DATA_INIZIO_SINTOMI,CASI,iss_date
28/01/2020,15,11/08/2022
29/01/2020,21,11/08/2022
30/01/2020,29,11/08/2022
31/01/2020,34,11/08/2022
01/02/2020,53,11/08/2022
02/02/2020,42,11/08/2022
03/02/2020,25,11/08/2022
04/02/2020,23,11/08/2022
05/02/2020,29,11/08/2022
06/02/2020,24,11/08/2022
07/02/2020,22,11/08/2022
08/02/2020,17,11/08/2022
09/02/2020,17,11/08/2022
10/02/2020,61,11/08/2022
11/02/2020,34,11/08/2022
12/02/2020,54,11/08/2022
13/02/2020,51,11/08/2022
14/02/2020,68,11/08/2022
15/02/2020,150,11/08/2022
16/02/2020,83,11/08/2022
17/02/2020,146,11/08/2022
18/02/2020,163,11/08/2022
19/02/2020,145,11/08/2022
20/02/2020,408,11/08/2022
21/02/2020,317,11/08/2022
22/02/2020,400,11/08/2022
23/02/2020,499,11/08/2022
24/02/2020,676,11/08/2022
25/02/2020,814,11/08/2022
26/02/2020,741,11/08/2022
27/02/2020,897,11/08/2022
28/02/2020,1208,11/08/2022
29/02/2020,1078,11/08/2022
01/03/2020,2480,11/08/2022
02/03/2020,1944,11/08/2022
03/03/2020,2242,11/08/2022
04/03/2020,1956,11/08/2022
05/03/2020,2625,11/08/2022
06/03/2020,2970,11/08/2022
07/03/2020,3128,11/08/2022
08/03/2020,3702,11/08/2022
09/03/2020,4439,11/08/2022
10/03/2020,6137,11/08/2022
11/03/2020,4236,11/08/2022
12/03/2020,4807,11/08/2022
13/03/2020,5372,11/08/2022
14/03/2020,4687,11/08/2022
15/03/2020,5858,11/08/2022
16/03/2020,5338,11/08/2022
17/03/2020,4555,11/08/2022
18/03/2020,4781,11/08/2022
19/03/2020,4271,11/08/2022
20/03/2020,6192,11/08/2022
21/03/2020,3839,11/08/2022
22/03/2020,3798,11/08/2022
23/03/2020,4380,11/08/2022
24/03/2020,3578,11/08/2022
25/03/2020,3833,11/08/2022
26/03/2020,3292,11/08/2022
27/03/2020,3526,11/08/2022
28/03/2020,3149,11/08/2022
29/03/2020,2376,11/08/2022
30/03/2020,3675,11/08/2022
31/03/2020,2597,11/08/2022
01/04/2020,4119,11/08/2022
02/04/2020,2715,11/08/2022
03/04/2020,2724,11/08/2022
04/04/2020,2360,11/08/2022
05/04/2020,2054,11/08/2022
06/04/2020,2460,11/08/2022
07/04/2020,2271,11/08/2022
08/04/2020,2145,11/08/2022
09/04/2020,2065,11/08/2022
10/04/2020,2724,11/08/2022
11/04/2020,1623,11/08/2022
12/04/2020,1650,11/08/2022
13/04/2020,1513,11/08/2022
14/04/2020,1857,11/08/2022
15/04/2020,2179,11/08/2022
16/04/2020,1676,11/08/2022
17/04/2020,1642,11/08/2022
18/04/2020,1302,11/08/2022
19/04/2020,1047,11/08/2022
20/04/2020,1910,11/08/2022
21/04/2020,1197,11/08/2022
22/04/2020,1232,11/08/2022
23/04/2020,1251,11/08/2022
24/04/2020,1126,11/08/2022
25/04/2020,884,11/08/2022
26/04/2020,677,11/08/2022
27/04/2020,1126,11/08/2022
28/04/2020,872,11/08/2022
29/04/2020,925,11/08/2022
30/04/2020,866,11/08/2022
01/05/2020,701,11/08/2022
02/05/2020,509,11/08/2022
03/05/2020,410,11/08/2022
04/05/2020,656,11/08/2022
05/05/2020,633,11/08/2022
06/05/2020,565,11/08/2022
07/05/2020,499,11/08/2022
08/05/2020,524,11/08/2022
09/05/2020,301,11/08/2022
10/05/2020,334,11/08/2022
11/05/2020,440,11/08/2022
12/05/2020,453,11/08/2022
13/05/2020,386,11/08/2022
14/05/2020,338,11/08/2022
15/05/2020,343,11/08/2022
16/05/2020,243,11/08/2022
17/05/2020,187,11/08/2022
18/05/2020,306,11/08/2022
19/05/2020,254,11/08/2022
20/05/2020,294,11/08/2022
21/05/2020,228,11/08/2022
22/05/2020,193,11/08/2022
23/05/2020,142,11/08/2022
24/05/2020,107,11/08/2022
25/05/2020,237,11/08/2022
26/05/2020,186,11/08/2022
27/05/2020,213,11/08/2022
28/05/2020,173,11/08/2022
29/05/2020,142,11/08/2022
30/05/2020,122,11/08/2022
31/05/2020,69,11/08/2022
01/06/2020,173,11/08/2022
02/06/2020,66,11/08/2022
03/06/2020,141,11/08/2022
04/06/2020,128,11/08/2022
05/06/2020,164,11/08/2022
06/06/2020,98,11/08/2022
07/06/2020,74,11/08/2022
08/06/2020,138,11/08/2022
09/06/2020,126,11/08/2022
10/06/2020,116,11/08/2022
11/06/2020,111,11/08/2022
12/06/2020,126,11/08/2022
13/06/2020,76,11/08/2022
14/06/2020,82,11/08/2022
15/06/2020,120,11/08/2022
16/06/2020,108,11/08/2022
17/06/2020,97,11/08/2022
18/06/2020,97,11/08/2022
19/06/2020,92,11/08/2022
20/06/2020,69,11/08/2022
21/06/2020,66,11/08/2022
