DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
29/01/2020,<5,11/08/2022
06/02/2020,<5,11/08/2022
20/02/2020,<5,11/08/2022
21/02/2020,36,11/08/2022
22/02/2020,58,11/08/2022
23/02/2020,77,11/08/2022
24/02/2020,86,11/08/2022
25/02/2020,192,11/08/2022
26/02/2020,276,11/08/2022
27/02/2020,287,11/08/2022
28/02/2020,354,11/08/2022
29/02/2020,373,11/08/2022
01/03/2020,410,11/08/2022
02/03/2020,629,11/08/2022
03/03/2020,803,11/08/2022
04/03/2020,1076,11/08/2022
05/03/2020,1302,11/08/2022
06/03/2020,1531,11/08/2022
07/03/2020,1463,11/08/2022
08/03/2020,1450,11/08/2022
09/03/2020,2239,11/08/2022
10/03/2020,2451,11/08/2022
11/03/2020,2776,11/08/2022
12/03/2020,3145,11/08/2022
13/03/2020,4101,11/08/2022
14/03/2020,3533,11/08/2022
15/03/2020,2848,11/08/2022
16/03/2020,4817,11/08/2022
17/03/2020,5347,11/08/2022
18/03/2020,5690,11/08/2022
19/03/2020,5684,11/08/2022
20/03/2020,6259,11/08/2022
21/03/2020,4921,11/08/2022
22/03/2020,3925,11/08/2022
23/03/2020,6100,11/08/2022
24/03/2020,5915,11/08/2022
25/03/2020,5804,11/08/2022
26/03/2020,5702,11/08/2022
27/03/2020,5790,11/08/2022
28/03/2020,4529,11/08/2022
29/03/2020,3011,11/08/2022
30/03/2020,5086,11/08/2022
31/03/2020,5360,11/08/2022
01/04/2020,5024,11/08/2022
02/04/2020,4777,11/08/2022
03/04/2020,4446,11/08/2022
04/04/2020,3666,11/08/2022
05/04/2020,2600,11/08/2022
06/04/2020,4091,11/08/2022
07/04/2020,4142,11/08/2022
08/04/2020,4794,11/08/2022
09/04/2020,4687,11/08/2022
10/04/2020,5131,11/08/2022
11/04/2020,3430,11/08/2022
12/04/2020,1918,11/08/2022
13/04/2020,2270,11/08/2022
14/04/2020,3280,11/08/2022
15/04/2020,3947,11/08/2022
16/04/2020,3704,11/08/2022
17/04/2020,3498,11/08/2022
