NOME_NUTS2,CASI_CUMULATIVI,iss_date
Abruzzo,520964,11/08/2022
Basilicata,177044,11/08/2022
Calabria,468943,11/08/2022
Campania,2141944,11/08/2022
Emilia-Romagna,1787031,11/08/2022
Friuli-Venezia Giulia,452517,11/08/2022
Lazio,2065628,11/08/2022
Liguria,548532,11/08/2022
Lombardia,3413928,11/08/2022
Marche,557065,11/08/2022
Molise,83931,11/08/2022
Piemonte,1387940,11/08/2022
Provincia Autonoma di Bolzano/Bozen,249723,11/08/2022
Provincia Autonoma di Trento,199081,11/08/2022
Puglia,1425716,11/08/2022
Sardegna,441282,11/08/2022
Sicilia,1625696,11/08/2022
Toscana,1435272,11/08/2022
Umbria,365810,11/08/2022
Valle d'Aosta/Vallée d'Aoste,43178,11/08/2022
Veneto,2135756,11/08/2022
