DATA_DECESSO,DECESSI,iss_date
20/02/2020,<5,11/08/2022
21/02/2020,<5,11/08/2022
22/02/2020,<5,11/08/2022
23/02/2020,<5,11/08/2022
24/02/2020,5,11/08/2022
25/02/2020,10,11/08/2022
26/02/2020,6,11/08/2022
27/02/2020,9,11/08/2022
28/02/2020,11,11/08/2022
29/02/2020,15,11/08/2022
01/03/2020,25,11/08/2022
02/03/2020,25,11/08/2022
03/03/2020,56,11/08/2022
04/03/2020,56,11/08/2022
05/03/2020,80,11/08/2022
06/03/2020,111,11/08/2022
07/03/2020,170,11/08/2022
08/03/2020,178,11/08/2022
09/03/2020,225,11/08/2022
10/03/2020,283,11/08/2022
11/03/2020,312,11/08/2022
12/03/2020,323,11/08/2022
13/03/2020,379,11/08/2022
14/03/2020,443,11/08/2022
15/03/2020,432,11/08/2022
16/03/2020,511,11/08/2022
17/03/2020,573,11/08/2022
18/03/2020,639,11/08/2022
19/03/2020,654,11/08/2022
20/03/2020,750,11/08/2022
21/03/2020,817,11/08/2022
22/03/2020,811,11/08/2022
23/03/2020,855,11/08/2022
24/03/2020,811,11/08/2022
25/03/2020,864,11/08/2022
26/03/2020,833,11/08/2022
27/03/2020,875,11/08/2022
28/03/2020,920,11/08/2022
29/03/2020,765,11/08/2022
30/03/2020,780,11/08/2022
31/03/2020,703,11/08/2022
01/04/2020,710,11/08/2022
02/04/2020,683,11/08/2022
03/04/2020,673,11/08/2022
04/04/2020,632,11/08/2022
05/04/2020,595,11/08/2022
06/04/2020,589,11/08/2022
07/04/2020,606,11/08/2022
08/04/2020,599,11/08/2022
09/04/2020,546,11/08/2022
10/04/2020,610,11/08/2022
11/04/2020,586,11/08/2022
12/04/2020,578,11/08/2022
13/04/2020,533,11/08/2022
14/04/2020,538,11/08/2022
15/04/2020,511,11/08/2022
16/04/2020,449,11/08/2022
17/04/2020,477,11/08/2022
18/04/2020,462,11/08/2022
19/04/2020,461,11/08/2022
20/04/2020,444,11/08/2022
21/04/2020,364,11/08/2022
22/04/2020,385,11/08/2022
23/04/2020,356,11/08/2022
24/04/2020,386,11/08/2022
25/04/2020,357,11/08/2022
26/04/2020,320,11/08/2022
27/04/2020,330,11/08/2022
28/04/2020,314,11/08/2022
29/04/2020,300,11/08/2022
30/04/2020,261,11/08/2022
01/05/2020,259,11/08/2022
02/05/2020,253,11/08/2022
03/05/2020,243,11/08/2022
04/05/2020,219,11/08/2022
05/05/2020,225,11/08/2022
06/05/2020,218,11/08/2022
07/05/2020,181,11/08/2022
08/05/2020,171,11/08/2022
09/05/2020,200,11/08/2022
10/05/2020,170,11/08/2022
11/05/2020,163,11/08/2022
12/05/2020,160,11/08/2022
13/05/2020,145,11/08/2022
14/05/2020,140,11/08/2022
15/05/2020,155,11/08/2022
16/05/2020,103,11/08/2022
17/05/2020,119,11/08/2022
18/05/2020,100,11/08/2022
19/05/2020,92,11/08/2022
20/05/2020,88,11/08/2022
21/05/2020,78,11/08/2022
22/05/2020,84,11/08/2022
23/05/2020,95,11/08/2022
24/05/2020,85,11/08/2022
25/05/2020,75,11/08/2022
26/05/2020,60,11/08/2022
27/05/2020,50,11/08/2022
28/05/2020,71,11/08/2022
29/05/2020,61,11/08/2022
30/05/2020,49,11/08/2022
31/05/2020,48,11/08/2022
01/06/2020,62,11/08/2022
02/06/2020,56,11/08/2022
03/06/2020,50,11/08/2022
04/06/2020,60,11/08/2022
05/06/2020,66,11/08/2022
06/06/2020,78,11/08/2022
07/06/2020,36,11/08/2022
08/06/2020,43,11/08/2022
09/06/2020,45,11/08/2022
10/06/2020,38,11/08/2022
11/06/2020,39,11/08/2022
12/06/2020,34,11/08/2022
13/06/2020,24,11/08/2022
14/06/2020,22,11/08/2022
15/06/2020,38,11/08/2022
16/06/2020,44,11/08/2022
17/06/2020,35,11/08/2022
18/06/2020,44,11/08/2022
19/06/2020,34,11/08/2022
20/06/2020,19,11/08/2022
21/06/2020,25,11/08/2022
22/06/2020,31,11/08/2022
23/06/2020,50,11/08/2022
24/06/2020,24,11/08/2022
25/06/2020,26,11/08/2022
26/06/2020,20,11/08/2022
27/06/2020,24,11/08/2022
28/06/2020,13,11/08/2022
29/06/2020,18,11/08/2022
30/06/2020,16,11/08/2022
01/07/2020,15,11/08/2022
02/07/2020,15,11/08/2022
03/07/2020,16,11/08/2022
04/07/2020,7,11/08/2022
05/07/2020,11,11/08/2022
06/07/2020,14,11/08/2022
07/07/2020,11,11/08/2022
08/07/2020,10,11/08/2022
09/07/2020,11,11/08/2022
10/07/2020,11,11/08/2022
11/07/2020,7,11/08/2022
12/07/2020,10,11/08/2022
13/07/2020,22,11/08/2022
