DATARICOVERO1,RICOVERI,iss_date
20/02/2020,91,11/08/2022
21/02/2020,123,11/08/2022
22/02/2020,108,11/08/2022
23/02/2020,151,11/08/2022
24/02/2020,191,11/08/2022
25/02/2020,267,11/08/2022
26/02/2020,271,11/08/2022
27/02/2020,315,11/08/2022
28/02/2020,379,11/08/2022
29/02/2020,374,11/08/2022
01/03/2020,440,11/08/2022
02/03/2020,669,11/08/2022
03/03/2020,815,11/08/2022
04/03/2020,914,11/08/2022
05/03/2020,1096,11/08/2022
06/03/2020,1226,11/08/2022
07/03/2020,1203,11/08/2022
08/03/2020,1158,11/08/2022
09/03/2020,1458,11/08/2022
10/03/2020,1583,11/08/2022
11/03/2020,1758,11/08/2022
12/03/2020,1907,11/08/2022
13/03/2020,2337,11/08/2022
14/03/2020,1994,11/08/2022
15/03/2020,1910,11/08/2022
16/03/2020,2493,11/08/2022
17/03/2020,2667,11/08/2022
18/03/2020,2710,11/08/2022
19/03/2020,2785,11/08/2022
20/03/2020,2860,11/08/2022
21/03/2020,2547,11/08/2022
22/03/2020,2196,11/08/2022
23/03/2020,2718,11/08/2022
24/03/2020,2624,11/08/2022
25/03/2020,2322,11/08/2022
26/03/2020,2130,11/08/2022
27/03/2020,2246,11/08/2022
28/03/2020,1753,11/08/2022
29/03/2020,1441,11/08/2022
30/03/2020,1688,11/08/2022
31/03/2020,1596,11/08/2022
01/04/2020,1521,11/08/2022
02/04/2020,1469,11/08/2022
03/04/2020,1277,11/08/2022
04/04/2020,1035,11/08/2022
05/04/2020,846,11/08/2022
06/04/2020,1040,11/08/2022
07/04/2020,1044,11/08/2022
08/04/2020,1058,11/08/2022
09/04/2020,1016,11/08/2022
10/04/2020,943,11/08/2022
11/04/2020,829,11/08/2022
12/04/2020,671,11/08/2022
13/04/2020,627,11/08/2022
14/04/2020,876,11/08/2022
15/04/2020,726,11/08/2022
16/04/2020,725,11/08/2022
17/04/2020,739,11/08/2022
18/04/2020,580,11/08/2022
19/04/2020,475,11/08/2022
20/04/2020,674,11/08/2022
21/04/2020,623,11/08/2022
22/04/2020,622,11/08/2022
23/04/2020,604,11/08/2022
24/04/2020,568,11/08/2022
25/04/2020,432,11/08/2022
26/04/2020,365,11/08/2022
27/04/2020,457,11/08/2022
28/04/2020,453,11/08/2022
29/04/2020,421,11/08/2022
30/04/2020,381,11/08/2022
01/05/2020,288,11/08/2022
02/05/2020,250,11/08/2022
03/05/2020,189,11/08/2022
04/05/2020,312,11/08/2022
05/05/2020,298,11/08/2022
06/05/2020,302,11/08/2022
07/05/2020,298,11/08/2022
08/05/2020,299,11/08/2022
09/05/2020,183,11/08/2022
10/05/2020,172,11/08/2022
11/05/2020,263,11/08/2022
12/05/2020,194,11/08/2022
13/05/2020,209,11/08/2022
14/05/2020,214,11/08/2022
15/05/2020,223,11/08/2022
16/05/2020,140,11/08/2022
17/05/2020,129,11/08/2022
18/05/2020,180,11/08/2022
19/05/2020,164,11/08/2022
20/05/2020,150,11/08/2022
21/05/2020,132,11/08/2022
22/05/2020,140,11/08/2022
23/05/2020,101,11/08/2022
24/05/2020,99,11/08/2022
25/05/2020,163,11/08/2022
26/05/2020,127,11/08/2022
27/05/2020,121,11/08/2022
28/05/2020,87,11/08/2022
29/05/2020,122,11/08/2022
30/05/2020,90,11/08/2022
31/05/2020,60,11/08/2022
01/06/2020,138,11/08/2022
02/06/2020,71,11/08/2022
03/06/2020,108,11/08/2022
04/06/2020,95,11/08/2022
05/06/2020,100,11/08/2022
06/06/2020,54,11/08/2022
07/06/2020,47,11/08/2022
08/06/2020,128,11/08/2022
09/06/2020,84,11/08/2022
10/06/2020,85,11/08/2022
11/06/2020,67,11/08/2022
12/06/2020,93,11/08/2022
13/06/2020,71,11/08/2022
14/06/2020,58,11/08/2022
15/06/2020,94,11/08/2022
16/06/2020,66,11/08/2022
17/06/2020,97,11/08/2022
18/06/2020,82,11/08/2022
19/06/2020,100,11/08/2022
20/06/2020,36,11/08/2022
21/06/2020,51,11/08/2022
22/06/2020,106,11/08/2022
23/06/2020,73,11/08/2022
24/06/2020,98,11/08/2022
25/06/2020,76,11/08/2022
26/06/2020,94,11/08/2022
27/06/2020,46,11/08/2022
28/06/2020,35,11/08/2022
29/06/2020,105,11/08/2022
30/06/2020,75,11/08/2022
01/07/2020,66,11/08/2022
02/07/2020,80,11/08/2022
03/07/2020,91,11/08/2022
04/07/2020,40,11/08/2022
05/07/2020,51,11/08/2022
06/07/2020,86,11/08/2022
07/07/2020,68,11/08/2022
08/07/2020,77,11/08/2022
09/07/2020,67,11/08/2022
10/07/2020,79,11/08/2022
11/07/2020,55,11/08/2022
12/07/2020,45,11/08/2022
13/07/2020,91,11/08/2022
14/07/2020,74,11/08/2022
15/07/2020,72,11/08/2022
16/07/2020,61,11/08/2022
17/07/2020,98,11/08/2022
18/07/2020,53,11/08/2022
19/07/2020,39,11/08/2022
20/07/2020,92,11/08/2022
21/07/2020,87,11/08/2022
22/07/2020,78,11/08/2022
23/07/2020,72,11/08/2022
24/07/2020,73,11/08/2022
25/07/2020,64,11/08/2022
26/07/2020,46,11/08/2022
27/07/2020,76,11/08/2022
28/07/2020,69,11/08/2022
29/07/2020,79,11/08/2022
30/07/2020,66,11/08/2022
31/07/2020,88,11/08/2022
01/08/2020,70,11/08/2022
02/08/2020,55,11/08/2022
03/08/2020,109,11/08/2022
04/08/2020,65,11/08/2022
05/08/2020,91,11/08/2022
06/08/2020,70,11/08/2022
07/08/2020,80,11/08/2022
08/08/2020,58,11/08/2022
09/08/2020,63,11/08/2022
10/08/2020,104,11/08/2022
11/08/2020,61,11/08/2022
12/08/2020,110,11/08/2022
13/08/2020,87,11/08/2022
14/08/2020,83,11/08/2022
15/08/2020,65,11/08/2022
16/08/2020,68,11/08/2022
17/08/2020,107,11/08/2022
18/08/2020,119,11/08/2022
19/08/2020,145,11/08/2022
20/08/2020,90,11/08/2022
21/08/2020,100,11/08/2022
22/08/2020,123,11/08/2022
23/08/2020,96,11/08/2022
24/08/2020,136,11/08/2022
25/08/2020,153,11/08/2022
26/08/2020,154,11/08/2022
27/08/2020,152,11/08/2022
28/08/2020,150,11/08/2022
29/08/2020,114,11/08/2022
30/08/2020,117,11/08/2022
31/08/2020,145,11/08/2022
01/09/2020,159,11/08/2022
02/09/2020,188,11/08/2022
03/09/2020,188,11/08/2022
04/09/2020,179,11/08/2022
05/09/2020,150,11/08/2022
06/09/2020,126,11/08/2022
07/09/2020,219,11/08/2022
08/09/2020,179,11/08/2022
09/09/2020,195,11/08/2022
10/09/2020,218,11/08/2022
11/09/2020,209,11/08/2022
12/09/2020,186,11/08/2022
13/09/2020,175,11/08/2022
14/09/2020,231,11/08/2022
15/09/2020,249,11/08/2022
16/09/2020,239,11/08/2022
17/09/2020,247,11/08/2022
18/09/2020,245,11/08/2022
19/09/2020,188,11/08/2022
20/09/2020,167,11/08/2022
21/09/2020,269,11/08/2022
22/09/2020,263,11/08/2022
23/09/2020,262,11/08/2022
24/09/2020,256,11/08/2022
25/09/2020,284,11/08/2022
26/09/2020,219,11/08/2022
27/09/2020,195,11/08/2022
28/09/2020,286,11/08/2022
29/09/2020,289,11/08/2022
30/09/2020,267,11/08/2022
01/10/2020,350,11/08/2022
02/10/2020,364,11/08/2022
03/10/2020,361,11/08/2022
04/10/2020,327,11/08/2022
05/10/2020,447,11/08/2022
06/10/2020,501,11/08/2022
07/10/2020,485,11/08/2022
08/10/2020,533,11/08/2022
09/10/2020,571,11/08/2022
10/10/2020,580,11/08/2022
11/10/2020,593,11/08/2022
12/10/2020,762,11/08/2022
13/10/2020,819,11/08/2022
14/10/2020,846,11/08/2022
15/10/2020,951,11/08/2022
16/10/2020,974,11/08/2022
17/10/2020,1112,11/08/2022
18/10/2020,1038,11/08/2022
19/10/2020,1316,11/08/2022
20/10/2020,1418,11/08/2022
21/10/2020,1424,11/08/2022
22/10/2020,1529,11/08/2022
23/10/2020,1735,11/08/2022
24/10/2020,1578,11/08/2022
25/10/2020,1656,11/08/2022
26/10/2020,2000,11/08/2022
27/10/2020,1964,11/08/2022
28/10/2020,2016,11/08/2022
29/10/2020,2116,11/08/2022
30/10/2020,2296,11/08/2022
31/10/2020,2070,11/08/2022
01/11/2020,1929,11/08/2022
02/11/2020,2440,11/08/2022
03/11/2020,2487,11/08/2022
04/11/2020,2619,11/08/2022
05/11/2020,2624,11/08/2022
06/11/2020,2574,11/08/2022
07/11/2020,2425,11/08/2022
08/11/2020,2182,11/08/2022
09/11/2020,2503,11/08/2022
10/11/2020,2534,11/08/2022
11/11/2020,2630,11/08/2022
12/11/2020,2534,11/08/2022
13/11/2020,2556,11/08/2022
14/11/2020,2326,11/08/2022
15/11/2020,2022,11/08/2022
16/11/2020,2493,11/08/2022
17/11/2020,2469,11/08/2022
18/11/2020,2322,11/08/2022
19/11/2020,2311,11/08/2022
20/11/2020,2215,11/08/2022
21/11/2020,1827,11/08/2022
22/11/2020,1606,11/08/2022
23/11/2020,2022,11/08/2022
24/11/2020,1954,11/08/2022
25/11/2020,1855,11/08/2022
26/11/2020,1778,11/08/2022
27/11/2020,1783,11/08/2022
28/11/2020,1611,11/08/2022
29/11/2020,1373,11/08/2022
30/11/2020,1601,11/08/2022
01/12/2020,1619,11/08/2022
02/12/2020,1618,11/08/2022
03/12/2020,1581,11/08/2022
04/12/2020,1546,11/08/2022
05/12/2020,1433,11/08/2022
06/12/2020,1267,11/08/2022
07/12/2020,1420,11/08/2022
08/12/2020,1303,11/08/2022
09/12/2020,1434,11/08/2022
10/12/2020,1401,11/08/2022
11/12/2020,1444,11/08/2022
12/12/2020,1266,11/08/2022
13/12/2020,1045,11/08/2022
14/12/2020,1355,11/08/2022
15/12/2020,1273,11/08/2022
16/12/2020,1257,11/08/2022
17/12/2020,1293,11/08/2022
18/12/2020,1267,11/08/2022
19/12/2020,1209,11/08/2022
20/12/2020,1049,11/08/2022
21/12/2020,1254,11/08/2022
22/12/2020,1292,11/08/2022
23/12/2020,1240,11/08/2022
24/12/2020,1261,11/08/2022
25/12/2020,992,11/08/2022
26/12/2020,1148,11/08/2022
27/12/2020,1202,11/08/2022
28/12/2020,1363,11/08/2022
29/12/2020,1409,11/08/2022
30/12/2020,1343,11/08/2022
31/12/2020,1372,11/08/2022
01/01/2021,1153,11/08/2022
02/01/2021,1416,11/08/2022
03/01/2021,1215,11/08/2022
04/01/2021,1433,11/08/2022
05/01/2021,1462,11/08/2022
06/01/2021,1222,11/08/2022
07/01/2021,1405,11/08/2022
08/01/2021,1470,11/08/2022
09/01/2021,1280,11/08/2022
10/01/2021,1152,11/08/2022
11/01/2021,1343,11/08/2022
12/01/2021,1309,11/08/2022
13/01/2021,1279,11/08/2022
14/01/2021,1288,11/08/2022
15/01/2021,1249,11/08/2022
16/01/2021,1196,11/08/2022
17/01/2021,928,11/08/2022
18/01/2021,1162,11/08/2022
19/01/2021,1077,11/08/2022
20/01/2021,1079,11/08/2022
21/01/2021,1140,11/08/2022
22/01/2021,1067,11/08/2022
23/01/2021,1000,11/08/2022
24/01/2021,860,11/08/2022
25/01/2021,1173,11/08/2022
26/01/2021,976,11/08/2022
27/01/2021,926,11/08/2022
28/01/2021,981,11/08/2022
29/01/2021,1027,11/08/2022
30/01/2021,904,11/08/2022
31/01/2021,828,11/08/2022
01/02/2021,1062,11/08/2022
02/02/2021,984,11/08/2022
03/02/2021,982,11/08/2022
04/02/2021,978,11/08/2022
05/02/2021,978,11/08/2022
06/02/2021,895,11/08/2022
07/02/2021,847,11/08/2022
08/02/2021,1025,11/08/2022
09/02/2021,959,11/08/2022
10/02/2021,1008,11/08/2022
11/02/2021,982,11/08/2022
12/02/2021,939,11/08/2022
13/02/2021,850,11/08/2022
14/02/2021,741,11/08/2022
15/02/2021,977,11/08/2022
16/02/2021,950,11/08/2022
17/02/2021,1023,11/08/2022
18/02/2021,1052,11/08/2022
19/02/2021,1041,11/08/2022
20/02/2021,996,11/08/2022
21/02/2021,932,11/08/2022
22/02/2021,1291,11/08/2022
23/02/2021,1280,11/08/2022
24/02/2021,1205,11/08/2022
25/02/2021,1211,11/08/2022
26/02/2021,1350,11/08/2022
27/02/2021,1332,11/08/2022
28/02/2021,1166,11/08/2022
01/03/2021,1454,11/08/2022
02/03/2021,1638,11/08/2022
03/03/2021,1622,11/08/2022
04/03/2021,1580,11/08/2022
05/03/2021,1706,11/08/2022
06/03/2021,1580,11/08/2022
07/03/2021,1378,11/08/2022
08/03/2021,1842,11/08/2022
09/03/2021,1850,11/08/2022
10/03/2021,1858,11/08/2022
11/03/2021,1739,11/08/2022
12/03/2021,1874,11/08/2022
13/03/2021,1848,11/08/2022
14/03/2021,1618,11/08/2022
15/03/2021,2039,11/08/2022
16/03/2021,2060,11/08/2022
17/03/2021,1926,11/08/2022
18/03/2021,1818,11/08/2022
19/03/2021,1880,11/08/2022
20/03/2021,1818,11/08/2022
21/03/2021,1646,11/08/2022
22/03/2021,1923,11/08/2022
23/03/2021,1851,11/08/2022
24/03/2021,1801,11/08/2022
25/03/2021,1853,11/08/2022
26/03/2021,1902,11/08/2022
27/03/2021,1696,11/08/2022
28/03/2021,1402,11/08/2022
29/03/2021,1854,11/08/2022
30/03/2021,1759,11/08/2022
31/03/2021,1718,11/08/2022
01/04/2021,1723,11/08/2022
02/04/2021,1820,11/08/2022
03/04/2021,1608,11/08/2022
04/04/2021,1298,11/08/2022
05/04/2021,1375,11/08/2022
06/04/2021,1604,11/08/2022
07/04/2021,1472,11/08/2022
08/04/2021,1373,11/08/2022
09/04/2021,1395,11/08/2022
10/04/2021,1266,11/08/2022
11/04/2021,1114,11/08/2022
12/04/2021,1226,11/08/2022
13/04/2021,1309,11/08/2022
14/04/2021,1147,11/08/2022
15/04/2021,1127,11/08/2022
16/04/2021,1045,11/08/2022
17/04/2021,1006,11/08/2022
18/04/2021,1005,11/08/2022
19/04/2021,1102,11/08/2022
20/04/2021,1112,11/08/2022
21/04/2021,1087,11/08/2022
22/04/2021,988,11/08/2022
23/04/2021,1039,11/08/2022
24/04/2021,942,11/08/2022
25/04/2021,834,11/08/2022
26/04/2021,996,11/08/2022
27/04/2021,928,11/08/2022
28/04/2021,968,11/08/2022
29/04/2021,848,11/08/2022
30/04/2021,890,11/08/2022
01/05/2021,742,11/08/2022
02/05/2021,666,11/08/2022
03/05/2021,854,11/08/2022
04/05/2021,834,11/08/2022
05/05/2021,744,11/08/2022
06/05/2021,676,11/08/2022
07/05/2021,674,11/08/2022
08/05/2021,611,11/08/2022
09/05/2021,454,11/08/2022
10/05/2021,654,11/08/2022
11/05/2021,534,11/08/2022
12/05/2021,551,11/08/2022
13/05/2021,543,11/08/2022
14/05/2021,498,11/08/2022
15/05/2021,417,11/08/2022
16/05/2021,361,11/08/2022
17/05/2021,472,11/08/2022
18/05/2021,383,11/08/2022
19/05/2021,375,11/08/2022
20/05/2021,370,11/08/2022
21/05/2021,335,11/08/2022
22/05/2021,270,11/08/2022
23/05/2021,265,11/08/2022
24/05/2021,301,11/08/2022
25/05/2021,253,11/08/2022
26/05/2021,292,11/08/2022
27/05/2021,224,11/08/2022
28/05/2021,271,11/08/2022
29/05/2021,217,11/08/2022
30/05/2021,182,11/08/2022
31/05/2021,220,11/08/2022
01/06/2021,223,11/08/2022
02/06/2021,175,11/08/2022
03/06/2021,186,11/08/2022
04/06/2021,201,11/08/2022
05/06/2021,153,11/08/2022
06/06/2021,163,11/08/2022
07/06/2021,188,11/08/2022
08/06/2021,167,11/08/2022
09/06/2021,149,11/08/2022
10/06/2021,126,11/08/2022
11/06/2021,127,11/08/2022
12/06/2021,127,11/08/2022
13/06/2021,112,11/08/2022
14/06/2021,110,11/08/2022
15/06/2021,126,11/08/2022
16/06/2021,108,11/08/2022
17/06/2021,90,11/08/2022
18/06/2021,93,11/08/2022
19/06/2021,71,11/08/2022
20/06/2021,67,11/08/2022
21/06/2021,79,11/08/2022
22/06/2021,103,11/08/2022
23/06/2021,74,11/08/2022
24/06/2021,87,11/08/2022
25/06/2021,65,11/08/2022
26/06/2021,68,11/08/2022
27/06/2021,55,11/08/2022
28/06/2021,77,11/08/2022
29/06/2021,72,11/08/2022
30/06/2021,66,11/08/2022
01/07/2021,72,11/08/2022
02/07/2021,55,11/08/2022
03/07/2021,61,11/08/2022
04/07/2021,68,11/08/2022
05/07/2021,68,11/08/2022
06/07/2021,68,11/08/2022
07/07/2021,86,11/08/2022
