iss_date,NOME_NUTS2,CASI_CUMULATIVI
08/09/2021,Abruzzo,79785
08/09/2021,Basilicata,28929
08/09/2021,Calabria,79358
08/09/2021,Campania,448775
08/09/2021,Emilia-Romagna,415443
08/09/2021,Friuli-Venezia Giulia,108628
08/09/2021,Lazio,383732
08/09/2021,Liguria,110791
08/09/2021,Lombardia,872927
08/09/2021,Marche,111243
08/09/2021,Molise,14366
08/09/2021,Piemonte,376005
08/09/2021,Provincia Autonoma di Bolzano/Bozen,66982
08/09/2021,Provincia Autonoma di Trento,48773
08/09/2021,Puglia,265281
08/09/2021,Sardegna,73178
08/09/2021,Sicilia,287882
08/09/2021,Toscana,274705
08/09/2021,Umbria,62968
08/09/2021,Valle d'Aosta/Vallée d'Aoste,11985
08/09/2021,Veneto,459977
