iss_date,NOME_NUTS2,CASI_CUMULATIVI
06/01/2021,Abruzzo,36245
06/01/2021,Basilicata,11072
06/01/2021,Calabria,25549
06/01/2021,Campania,190972
06/01/2021,Emilia-Romagna,181089
06/01/2021,Friuli-Venezia Giulia,48589
06/01/2021,Lazio,172484
06/01/2021,Liguria,61925
06/01/2021,Lombardia,489081
06/01/2021,Marche,42014
06/01/2021,Molise,6754
06/01/2021,Piemonte,201974
06/01/2021,Provincia Autonoma di Bolzano/Bozen,29963
06/01/2021,Provincia Autonoma di Trento,22698
06/01/2021,Puglia,95383
06/01/2021,Sardegna,29572
06/01/2021,Sicilia,100179
06/01/2021,Toscana,121940
06/01/2021,Umbria,30234
06/01/2021,Valle d'Aosta/Vallée d'Aoste,7416
06/01/2021,Veneto,269794
