iss_date,NOME_NUTS2,CASI_CUMULATIVI
05/03/2021,Abruzzo,56503
05/03/2021,Basilicata,15935
05/03/2021,Calabria,38584
05/03/2021,Campania,266049
05/03/2021,Emilia-Romagna,270149
05/03/2021,Friuli-Venezia Giulia,73292
05/03/2021,Lazio,244224
05/03/2021,Liguria,79432
05/03/2021,Lombardia,622809
05/03/2021,Marche,68526
05/03/2021,Molise,10876
05/03/2021,Piemonte,253172
05/03/2021,Provincia Autonoma di Bolzano/Bozen,53635
05/03/2021,Provincia Autonoma di Trento,35958
05/03/2021,Puglia,152828
05/03/2021,Sardegna,40914
05/03/2021,Sicilia,156035
05/03/2021,Toscana,160537
05/03/2021,Umbria,46196
05/03/2021,Valle d'Aosta/Vallée d'Aoste,8087
05/03/2021,Veneto,340816
