iss_date,DATARICOVERO1,RICOVERI
08/12/2020,03/09/2020,173
08/12/2020,04/09/2020,152
08/12/2020,05/09/2020,143
08/12/2020,06/09/2020,118
08/12/2020,07/09/2020,200
08/12/2020,08/09/2020,158
08/12/2020,09/09/2020,181
08/12/2020,10/09/2020,196
08/12/2020,11/09/2020,180
08/12/2020,12/09/2020,182
08/12/2020,13/09/2020,172
08/12/2020,14/09/2020,198
08/12/2020,15/09/2020,220
08/12/2020,16/09/2020,214
08/12/2020,17/09/2020,227
08/12/2020,18/09/2020,231
08/12/2020,19/09/2020,195
08/12/2020,20/09/2020,169
08/12/2020,21/09/2020,229
08/12/2020,22/09/2020,234
08/12/2020,23/09/2020,236
08/12/2020,24/09/2020,232
08/12/2020,25/09/2020,252
08/12/2020,26/09/2020,211
08/12/2020,27/09/2020,187
08/12/2020,28/09/2020,247
08/12/2020,29/09/2020,279
08/12/2020,30/09/2020,235
08/12/2020,01/10/2020,313
08/12/2020,02/10/2020,332
08/12/2020,03/10/2020,351
08/12/2020,04/10/2020,310
08/12/2020,05/10/2020,413
08/12/2020,06/10/2020,455
08/12/2020,07/10/2020,443
08/12/2020,08/10/2020,506
08/12/2020,09/10/2020,542
08/12/2020,10/10/2020,555
08/12/2020,11/10/2020,568
08/12/2020,12/10/2020,717
08/12/2020,13/10/2020,776
08/12/2020,14/10/2020,808
08/12/2020,15/10/2020,904
08/12/2020,16/10/2020,922
08/12/2020,17/10/2020,1092
08/12/2020,18/10/2020,1036
08/12/2020,19/10/2020,1248
08/12/2020,20/10/2020,1352
08/12/2020,21/10/2020,1372
08/12/2020,22/10/2020,1454
08/12/2020,23/10/2020,1639
08/12/2020,24/10/2020,1549
08/12/2020,25/10/2020,1664
08/12/2020,26/10/2020,1938
08/12/2020,27/10/2020,1930
08/12/2020,28/10/2020,1953
08/12/2020,29/10/2020,2040
08/12/2020,30/10/2020,2218
08/12/2020,31/10/2020,2012
08/12/2020,01/11/2020,1884
08/12/2020,02/11/2020,2355
08/12/2020,03/11/2020,2434
08/12/2020,04/11/2020,2553
08/12/2020,05/11/2020,2565
08/12/2020,06/11/2020,2487
08/12/2020,07/11/2020,2371
08/12/2020,08/11/2020,2098
08/12/2020,09/11/2020,2381
08/12/2020,10/11/2020,2418
08/12/2020,11/11/2020,2521
08/12/2020,12/11/2020,2408
08/12/2020,13/11/2020,2416
08/12/2020,14/11/2020,2209
08/12/2020,15/11/2020,1875
08/12/2020,16/11/2020,2321
08/12/2020,17/11/2020,2318
08/12/2020,18/11/2020,2126
08/12/2020,19/11/2020,2126
08/12/2020,20/11/2020,2006
08/12/2020,21/11/2020,1677
08/12/2020,22/11/2020,1431
08/12/2020,23/11/2020,1777
08/12/2020,24/11/2020,1735
08/12/2020,25/11/2020,1617
08/12/2020,26/11/2020,1504
08/12/2020,27/11/2020,1545
08/12/2020,28/11/2020,1381
08/12/2020,29/11/2020,1175
08/12/2020,30/11/2020,1290
08/12/2020,01/12/2020,1274
08/12/2020,02/12/2020,1240
08/12/2020,03/12/2020,1040
08/12/2020,04/12/2020,881
08/12/2020,05/12/2020,676
08/12/2020,06/12/2020,482
08/12/2020,07/12/2020,214
08/12/2020,08/12/2020,17
08/12/2020,,1539763
