iss_date,DATA_DECESSO,DECESSI
08/12/2020,07/09/2020,18
08/12/2020,08/09/2020,5
08/12/2020,09/09/2020,7
08/12/2020,10/09/2020,8
08/12/2020,11/09/2020,6
08/12/2020,12/09/2020,11
08/12/2020,13/09/2020,14
08/12/2020,14/09/2020,13
08/12/2020,15/09/2020,17
08/12/2020,16/09/2020,16
08/12/2020,17/09/2020,16
08/12/2020,18/09/2020,24
08/12/2020,19/09/2020,16
08/12/2020,20/09/2020,19
08/12/2020,21/09/2020,16
08/12/2020,22/09/2020,13
08/12/2020,23/09/2020,26
08/12/2020,24/09/2020,19
08/12/2020,25/09/2020,29
08/12/2020,26/09/2020,18
08/12/2020,27/09/2020,24
08/12/2020,28/09/2020,21
08/12/2020,29/09/2020,25
08/12/2020,30/09/2020,18
08/12/2020,01/10/2020,23
08/12/2020,02/10/2020,30
08/12/2020,03/10/2020,18
08/12/2020,04/10/2020,21
08/12/2020,05/10/2020,39
08/12/2020,06/10/2020,25
08/12/2020,07/10/2020,28
08/12/2020,08/10/2020,32
08/12/2020,09/10/2020,41
08/12/2020,10/10/2020,46
08/12/2020,11/10/2020,45
08/12/2020,12/10/2020,68
08/12/2020,13/10/2020,66
08/12/2020,14/10/2020,66
08/12/2020,15/10/2020,68
08/12/2020,16/10/2020,94
08/12/2020,17/10/2020,86
08/12/2020,18/10/2020,98
08/12/2020,19/10/2020,100
08/12/2020,20/10/2020,137
08/12/2020,21/10/2020,139
08/12/2020,22/10/2020,155
08/12/2020,23/10/2020,170
08/12/2020,24/10/2020,206
08/12/2020,25/10/2020,189
08/12/2020,26/10/2020,228
08/12/2020,27/10/2020,227
08/12/2020,28/10/2020,300
08/12/2020,29/10/2020,281
08/12/2020,30/10/2020,332
08/12/2020,31/10/2020,343
08/12/2020,01/11/2020,334
08/12/2020,02/11/2020,413
08/12/2020,03/11/2020,398
08/12/2020,04/11/2020,439
08/12/2020,05/11/2020,502
08/12/2020,06/11/2020,476
08/12/2020,07/11/2020,458
08/12/2020,08/11/2020,525
08/12/2020,09/11/2020,558
08/12/2020,10/11/2020,590
08/12/2020,11/11/2020,617
08/12/2020,12/11/2020,651
08/12/2020,13/11/2020,602
08/12/2020,14/11/2020,627
08/12/2020,15/11/2020,626
08/12/2020,16/11/2020,691
08/12/2020,17/11/2020,681
08/12/2020,18/11/2020,683
08/12/2020,19/11/2020,701
08/12/2020,20/11/2020,636
08/12/2020,21/11/2020,542
08/12/2020,22/11/2020,586
08/12/2020,23/11/2020,607
08/12/2020,24/11/2020,600
08/12/2020,25/11/2020,607
08/12/2020,26/11/2020,541
08/12/2020,27/11/2020,556
08/12/2020,28/11/2020,525
08/12/2020,29/11/2020,477
08/12/2020,30/11/2020,464
08/12/2020,01/12/2020,436
08/12/2020,02/12/2020,457
08/12/2020,03/12/2020,386
08/12/2020,04/12/2020,331
08/12/2020,05/12/2020,275
08/12/2020,06/12/2020,206
08/12/2020,07/12/2020,101
08/12/2020,08/12/2020,15
08/12/2020,,1678418
