iss_date,DATARICOVERO1,RICOVERI
10/06/2021,03/09/2020,179
10/06/2021,04/09/2020,164
10/06/2021,05/09/2020,147
10/06/2021,06/09/2020,119
10/06/2021,07/09/2020,200
10/06/2021,08/09/2020,171
10/06/2021,09/09/2020,179
10/06/2021,10/09/2020,200
10/06/2021,11/09/2020,187
10/06/2021,12/09/2020,181
10/06/2021,13/09/2020,172
10/06/2021,14/09/2020,209
10/06/2021,15/09/2020,228
10/06/2021,16/09/2020,225
10/06/2021,17/09/2020,234
10/06/2021,18/09/2020,236
10/06/2021,19/09/2020,190
10/06/2021,20/09/2020,167
10/06/2021,21/09/2020,239
10/06/2021,22/09/2020,246
10/06/2021,23/09/2020,241
10/06/2021,24/09/2020,236
10/06/2021,25/09/2020,260
10/06/2021,26/09/2020,218
10/06/2021,27/09/2020,190
10/06/2021,28/09/2020,252
10/06/2021,29/09/2020,277
10/06/2021,30/09/2020,242
10/06/2021,01/10/2020,316
10/06/2021,02/10/2020,342
10/06/2021,03/10/2020,354
10/06/2021,04/10/2020,322
10/06/2021,05/10/2020,422
10/06/2021,06/10/2020,468
10/06/2021,07/10/2020,461
10/06/2021,08/10/2020,518
10/06/2021,09/10/2020,548
10/06/2021,10/10/2020,560
10/06/2021,11/10/2020,585
10/06/2021,12/10/2020,735
10/06/2021,13/10/2020,811
10/06/2021,14/10/2020,826
10/06/2021,15/10/2020,937
10/06/2021,16/10/2020,938
10/06/2021,17/10/2020,1105
10/06/2021,18/10/2020,1045
10/06/2021,19/10/2020,1273
10/06/2021,20/10/2020,1383
10/06/2021,21/10/2020,1403
10/06/2021,22/10/2020,1509
10/06/2021,23/10/2020,1696
10/06/2021,24/10/2020,1571
10/06/2021,25/10/2020,1657
10/06/2021,26/10/2020,1968
10/06/2021,27/10/2020,1963
10/06/2021,28/10/2020,2003
10/06/2021,29/10/2020,2098
10/06/2021,30/10/2020,2284
10/06/2021,31/10/2020,2071
10/06/2021,01/11/2020,1927
10/06/2021,02/11/2020,2429
10/06/2021,03/11/2020,2472
10/06/2021,04/11/2020,2598
10/06/2021,05/11/2020,2622
10/06/2021,06/11/2020,2560
10/06/2021,07/11/2020,2434
10/06/2021,08/11/2020,2181
10/06/2021,09/11/2020,2489
10/06/2021,10/11/2020,2525
10/06/2021,11/11/2020,2637
10/06/2021,12/11/2020,2537
10/06/2021,13/11/2020,2550
10/06/2021,14/11/2020,2311
10/06/2021,15/11/2020,2012
10/06/2021,16/11/2020,2473
10/06/2021,17/11/2020,2468
10/06/2021,18/11/2020,2316
10/06/2021,19/11/2020,2308
10/06/2021,20/11/2020,2205
10/06/2021,21/11/2020,1820
10/06/2021,22/11/2020,1603
10/06/2021,23/11/2020,2022
10/06/2021,24/11/2020,1957
10/06/2021,25/11/2020,1837
10/06/2021,26/11/2020,1779
10/06/2021,27/11/2020,1776
10/06/2021,28/11/2020,1614
10/06/2021,29/11/2020,1374
10/06/2021,30/11/2020,1595
10/06/2021,01/12/2020,1613
10/06/2021,02/12/2020,1614
10/06/2021,03/12/2020,1568
10/06/2021,04/12/2020,1532
10/06/2021,05/12/2020,1424
10/06/2021,06/12/2020,1267
10/06/2021,07/12/2020,1411
10/06/2021,08/12/2020,1283
10/06/2021,09/12/2020,1431
10/06/2021,10/12/2020,1391
10/06/2021,11/12/2020,1435
10/06/2021,12/12/2020,1260
10/06/2021,13/12/2020,1042
10/06/2021,14/12/2020,1346
10/06/2021,15/12/2020,1269
10/06/2021,16/12/2020,1244
10/06/2021,17/12/2020,1288
10/06/2021,18/12/2020,1256
10/06/2021,19/12/2020,1189
10/06/2021,20/12/2020,1033
10/06/2021,21/12/2020,1253
10/06/2021,22/12/2020,1274
10/06/2021,23/12/2020,1238
10/06/2021,24/12/2020,1247
10/06/2021,25/12/2020,992
10/06/2021,26/12/2020,1134
10/06/2021,27/12/2020,1192
