iss_date,DATA_DECESSO,DECESSI
11/06/2021,06/09/2020,6
11/06/2021,07/09/2020,19
11/06/2021,08/09/2020,<5
11/06/2021,09/09/2020,7
11/06/2021,10/09/2020,8
11/06/2021,11/09/2020,8
11/06/2021,12/09/2020,13
11/06/2021,13/09/2020,14
11/06/2021,14/09/2020,13
11/06/2021,15/09/2020,20
11/06/2021,16/09/2020,17
11/06/2021,17/09/2020,16
11/06/2021,18/09/2020,24
11/06/2021,19/09/2020,16
11/06/2021,20/09/2020,19
11/06/2021,21/09/2020,16
11/06/2021,22/09/2020,13
11/06/2021,23/09/2020,26
11/06/2021,24/09/2020,21
11/06/2021,25/09/2020,29
11/06/2021,26/09/2020,19
11/06/2021,27/09/2020,25
11/06/2021,28/09/2020,21
11/06/2021,29/09/2020,25
11/06/2021,30/09/2020,19
11/06/2021,01/10/2020,27
11/06/2021,02/10/2020,30
11/06/2021,03/10/2020,18
11/06/2021,04/10/2020,20
11/06/2021,05/10/2020,38
11/06/2021,06/10/2020,25
11/06/2021,07/10/2020,33
11/06/2021,08/10/2020,39
11/06/2021,09/10/2020,44
11/06/2021,10/10/2020,51
11/06/2021,11/10/2020,56
11/06/2021,12/10/2020,74
11/06/2021,13/10/2020,71
11/06/2021,14/10/2020,71
11/06/2021,15/10/2020,68
11/06/2021,16/10/2020,104
11/06/2021,17/10/2020,89
11/06/2021,18/10/2020,106
11/06/2021,19/10/2020,105
11/06/2021,20/10/2020,146
11/06/2021,21/10/2020,147
11/06/2021,22/10/2020,161
11/06/2021,23/10/2020,180
11/06/2021,24/10/2020,209
11/06/2021,25/10/2020,198
11/06/2021,26/10/2020,248
11/06/2021,27/10/2020,235
11/06/2021,28/10/2020,303
11/06/2021,29/10/2020,299
11/06/2021,30/10/2020,351
11/06/2021,31/10/2020,373
11/06/2021,01/11/2020,356
11/06/2021,02/11/2020,443
11/06/2021,03/11/2020,435
11/06/2021,04/11/2020,471
11/06/2021,05/11/2020,549
11/06/2021,06/11/2020,516
11/06/2021,07/11/2020,499
11/06/2021,08/11/2020,568
11/06/2021,09/11/2020,601
11/06/2021,10/11/2020,661
11/06/2021,11/11/2020,675
11/06/2021,12/11/2020,727
11/06/2021,13/11/2020,664
11/06/2021,14/11/2020,690
11/06/2021,15/11/2020,724
11/06/2021,16/11/2020,763
11/06/2021,17/11/2020,782
11/06/2021,18/11/2020,790
11/06/2021,19/11/2020,805
11/06/2021,20/11/2020,784
11/06/2021,21/11/2020,676
11/06/2021,22/11/2020,719
11/06/2021,23/11/2020,763
11/06/2021,24/11/2020,766
11/06/2021,25/11/2020,826
11/06/2021,26/11/2020,733
11/06/2021,27/11/2020,769
11/06/2021,28/11/2020,727
11/06/2021,29/11/2020,668
11/06/2021,30/11/2020,683
11/06/2021,01/12/2020,651
11/06/2021,02/12/2020,719
11/06/2021,03/12/2020,649
11/06/2021,04/12/2020,689
11/06/2021,05/12/2020,627
11/06/2021,06/12/2020,650
11/06/2021,07/12/2020,640
11/06/2021,08/12/2020,601
11/06/2021,09/12/2020,688
11/06/2021,10/12/2020,624
11/06/2021,11/12/2020,616
11/06/2021,12/12/2020,583
11/06/2021,13/12/2020,571
11/06/2021,14/12/2020,574
11/06/2021,15/12/2020,580
11/06/2021,16/12/2020,637
11/06/2021,17/12/2020,584
11/06/2021,18/12/2020,559
11/06/2021,19/12/2020,504
11/06/2021,20/12/2020,491
11/06/2021,21/12/2020,505
11/06/2021,22/12/2020,493
11/06/2021,23/12/2020,498
11/06/2021,24/12/2020,491
11/06/2021,25/12/2020,421
11/06/2021,26/12/2020,430
11/06/2021,27/12/2020,419
11/06/2021,28/12/2020,497
11/06/2021,29/12/2020,447
11/06/2021,30/12/2020,478
11/06/2021,31/12/2020,425
11/06/2021,01/01/2021,451
11/06/2021,02/01/2021,429
11/06/2021,03/01/2021,427
11/06/2021,04/01/2021,506
11/06/2021,05/01/2021,499
11/06/2021,06/01/2021,470
11/06/2021,07/01/2021,458
11/06/2021,08/01/2021,445
11/06/2021,09/01/2021,434
11/06/2021,10/01/2021,437
11/06/2021,11/01/2021,475
11/06/2021,12/01/2021,461
11/06/2021,13/01/2021,453
11/06/2021,14/01/2021,422
11/06/2021,15/01/2021,502
11/06/2021,16/01/2021,444
11/06/2021,17/01/2021,441
11/06/2021,18/01/2021,475
11/06/2021,19/01/2021,466
11/06/2021,20/01/2021,438
11/06/2021,21/01/2021,422
11/06/2021,22/01/2021,422
11/06/2021,23/01/2021,405
11/06/2021,24/01/2021,415
11/06/2021,25/01/2021,394
11/06/2021,26/01/2021,433
11/06/2021,27/01/2021,429
11/06/2021,28/01/2021,392
11/06/2021,29/01/2021,356
11/06/2021,30/01/2021,376
11/06/2021,31/01/2021,357
11/06/2021,01/02/2021,349
11/06/2021,02/02/2021,397
11/06/2021,03/02/2021,361
11/06/2021,04/02/2021,332
11/06/2021,05/02/2021,407
11/06/2021,06/02/2021,343
11/06/2021,07/02/2021,295
11/06/2021,08/02/2021,326
11/06/2021,09/02/2021,328
11/06/2021,10/02/2021,287
11/06/2021,11/02/2021,295
11/06/2021,12/02/2021,281
11/06/2021,13/02/2021,250
11/06/2021,14/02/2021,259
11/06/2021,15/02/2021,276
11/06/2021,16/02/2021,280
11/06/2021,17/02/2021,330
11/06/2021,18/02/2021,297
11/06/2021,19/02/2021,288
11/06/2021,20/02/2021,245
11/06/2021,21/02/2021,260
