iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
07/06/2022,F,0-9,16,800126
07/06/2022,F,10-19,14,1139658
07/06/2022,F,20-29,43,1096486
07/06/2022,F,30-39,158,1311005
07/06/2022,F,40-49,501,1578690
07/06/2022,F,50-59,1771,1424092
07/06/2022,F,60-69,4882,852044
07/06/2022,F,70-79,13567,569866
07/06/2022,F,80-89,30450,397737
07/06/2022,F,>90,21075,149493
07/06/2022,F,Non noto,<5,98
07/06/2022,M,0-9,11,857653
07/06/2022,M,10-19,16,1146131
07/06/2022,M,20-29,79,1020523
07/06/2022,M,30-39,263,1096979
07/06/2022,M,40-49,1062,1309079
07/06/2022,M,50-59,4240,1251739
07/06/2022,M,60-69,11877,783613
07/06/2022,M,70-79,26980,537179
07/06/2022,M,80-89,35658,290382
07/06/2022,M,>90,11824,54431
07/06/2022,M,Non noto,<5,105
07/06/2022,Non noto,20-29,<5,<5
07/06/2022,Non noto,30-39,<5,<5
07/06/2022,Non noto,40-49,<5,<5
07/06/2022,Non noto,50-59,<5,<5
07/06/2022,Non noto,60-69,<5,<5
07/06/2022,Non noto,80-89,<5,7
