iss_date,NOME_NUTS2,CASI_CUMULATIVI
07/06/2022,Abruzzo,408541
07/06/2022,Basilicata,141150
07/06/2022,Calabria,353253
07/06/2022,Campania,1720119
07/06/2022,Emilia-Romagna,1494484
07/06/2022,Friuli-Venezia Giulia,344544
07/06/2022,Lazio,1648235
07/06/2022,Liguria,453651
07/06/2022,Lombardia,2907272
07/06/2022,Marche,453741
07/06/2022,Molise,66451
07/06/2022,Piemonte,1216087
07/06/2022,Provincia Autonoma di Bolzano/Bozen,218458
07/06/2022,Provincia Autonoma di Trento,169323
07/06/2022,Puglia,1141044
07/06/2022,Sardegna,331908
07/06/2022,Sicilia,1299698
07/06/2022,Toscana,1205259
07/06/2022,Umbria,297712
07/06/2022,Valle d'Aosta/Vallée d'Aoste,37245
07/06/2022,Veneto,1758953
